INDEX,STEP1_PROC_TIME,STEP2_PROC_TIME,STEP3_PROC_TIME,STEP_1_DIS,STEP_2_DIS,STEP_3_DIS,STEP_1_STD,STEP_2_STD,STEP_3_STD,  VAC_VAL,END_POINT,TOTAL_PROCTIME,
-2130171767,192,207,156,47.6073074,80.4116745,63.551918,0.08419644,0.204066962,0.219603017,0.5087679,398,556,27.8
-2130171765,193,205,157,45.984272,79.8898544,63.85806,0.0815692,0.20836091,0.221678525,0.5184639,397,556,27.8
-2130171763,193,206,158,46.7845573,80.82449,63.78327,0.082377225,0.2093759,0.2230989,0.5002838,398,558,27.9
-2130171761,192,204,157,48.1439934,76.7271,64.27596,0.08599836,0.1919284,0.22393474,0.5184639,395,554,27.7
-2130171759,192,212,157,43.4132423,90.15677,60.5844955,0.07101678,0.236405522,0.2027349,0.5124039,403,562,28.1
-2130171757,191,210,157,46.10042,84.01327,63.3979759,0.078621775,0.208947018,0.222737744,0.5063438,400,559,27.95
-2130171755,192,209,157,44.7771759,84.06547,63.9776039,0.07586806,0.213807151,0.2187537,0.5124039,400,559,27.95
-2130171753,192,209,156,44.7558746,86.35832,64.29754,0.07663878,0.227427542,0.220535472,0.5148279,400,558,27.9
-2130171751,191,208,156,44.040062,84.25581,63.2657166,0.07514069,0.224255592,0.214186117,0.5124039,398,556,27.8
-2130171749,191,206,157,45.97995,81.13781,65.92712,0.079452,0.206158489,0.234027982,0.5124039,396,555,27.75
-2130171748,194,207,156,47.3537025,80.88118,62.94347,0.08599836,0.209073812,0.216196224,0.5124039,400,558,27.9
-2130171746,192,212,156,43.6391029,88.8004,61.4965057,0.07270224,0.2308364,0.206309423,0.5124039,403,561,28.05
-2130171743,192,217,156,44.4388771,97.0565262,58.03739,0.07450211,0.260812849,0.190756872,0.5087679,408,566,28.3
-2130171741,191,214,156,43.6316833,92.66824,61.48235,0.07196399,0.24564229,0.207973033,0.5184639,404,562,28.1
-2130171739,192,211,157,48.0296822,85.5466156,62.8671646,0.08167939,0.210292876,0.213047758,0.5184639,402,561,28.05
-2130171737,190,213,156,46.9547958,87.3411,61.95257,0.07860442,0.215577513,0.2134281,0.5087679,402,560,28
-2130171735,194,212,156,47.24443,87.96417,57.9203949,0.08168062,0.228465468,0.188345522,0.5124039,405,563,28.15
-2130171733,190,215,156,41.15407,95.56059,59.517643,0.06461333,0.252989352,0.197473079,0.5124039,404,562,28.1
-2130171731,192,211,157,45.476696,90.15952,62.1883354,0.07888148,0.240721449,0.215442136,0.5087679,402,561,28.05
-2130171729,193,209,157,46.043087,85.05352,63.8754349,0.07944324,0.21916312,0.218821928,0.5124039,401,560,28
-2130171727,191,209,157,42.8843269,86.6711044,65.10543,0.07176463,0.2255237,0.22744751,0.5124039,399,558,27.9
-2130171725,194,208,157,49.7842064,81.08152,61.9967346,0.08978481,0.2028043,0.210841939,0.5063438,401,560,28
-2130171723,193,211,156,45.690918,88.62667,60.37307,0.07902981,0.234071866,0.206233948,0.5027078,403,561,28.05
-2130171721,192,207,155,44.7654457,84.09249,59.4157333,0.082263395,0.2272005,0.197109669,0.5184639,398,555,27.75
-2130171719,192,214,156,48.4270439,87.80426,58.52462,0.082602784,0.217077717,0.195020288,0.5027078,405,563,28.15
-2130171717,192,211,157,44.2891159,87.4381,61.6346931,0.07403355,0.222470909,0.213751853,0.5027078,402,561,28.05
-2130171715,192,210,157,45.82935,84.40595,62.074913,0.078899145,0.214794159,0.213142619,0.5063438,401,560,28
-2130171713,192,209,156,44.9446564,86.2582855,60.1039772,0.07759237,0.22478433,0.195421547,0.5124039,400,558,27.9
-2130171711,193,209,157,49.0014038,82.26741,62.2636642,0.085788325,0.203794137,0.213495061,0.5087679,401,560,28
-2130171709,194,207,156,48.1238861,82.3423157,61.7873268,0.08775917,0.220304266,0.2134089,0.5124039,400,558,27.9
-2130171707,194,207,157,47.1497574,82.0584259,64.7229156,0.08540622,0.2124788,0.231491745,0.5063438,400,559,27.95
-2130171705,193,211,157,45.4382629,88.13495,61.50477,0.07491924,0.228997335,0.206740126,0.5124039,403,562,28.1
-2130171591,193,212,157,48.0263329,85.88303,60.69184,0.08382005,0.214795709,0.203102991,0.5184639,404,563,28.15
1,191,208,146,50.63876,89.25573,52.952198,0.102676205,0.285908669,0.1410988,0.5124039,398,546,27.3
