"","LOTNO","PRODUCTNO","MONO","RUN_SEQ","WT","GR","SPC_VALUE","SPC_RANGE","PRE_CIE_X_AVG","PRE_CIE_Y_AVG","CIE_X_AVG","CIE_Y_AVG"
"16756","T40P58114600","95.T4014.W0B102Z","T05TM81524-023BJB501","0","8.13 ","0.00 ",93.33,13,"0.2850 ","0.2697 ","0.2918 ","0.2700 "
"16757","T30P5812L204","95.T3030.A0C100Z","T05TM82305-163BRLW01","1","55.00 ","0.85 ",79.83,16,"0.2825 ","0.3975 ","NULL","NULL"
"16758","T70P5821RL00","95.T7020.Z0C11BZ","T05TM82701-052D6GX01","0","12.40 ","30.10 ",106.17,38,"0.3093 ","0.2758 ","0.3059 ","0.2804 "
"16759","T40P58219F01","95.T4012.A0B001Z","T05TM83501-053CQGN01","1","95.00 ","0.50 ",91.5,37,"0.3147 ","0.2887 ","NULL","NULL"
"16760","S04P5830FH00","95.S3004.W0A01DZ","T05TM83001-0W2B1LG01","0","18.10 ","0.00 ",29.33,11,"0.2904 ","0.2551 ","0.2851 ","0.2607 "
"16761","T70P5822W100","95.T7020.Z0C115Z","T05TM82724-015AYGX01","2","10.16 ","14.55 ",104.5,16,"0.3012 ","0.2741 ","0.2931 ","0.2665 "
"16762","S06P5830FP00","95.S3806.W0A1AVZ","T05TM83608-043BED801","0","15.19 ","0.00 ",30.83,11,"0.2989 ","0.2721 ","0.2928 ","0.2724 "
"16763","T30P58302Z00","95.T3030.A0D10AZ","T05TM83302-162CZHH01","0","73.25 ","0.32 ",59.33,14,"0.3191 ","0.3114 ","0.2987 ","0.2910 "
"16764","380P5830WZ00","95.S3806.W0A0C8Z","T05TM83605-0W3C7H301","0","30.60 ","0.00 ",34.33,11,"0.2940 ","0.2954 ","0.2882 ","0.2652 "
"16765","380P5831LE00","95.S3806.W0A0B6Z","T05TM83617-0W2BEAF01","0","44.70 ","0.00 ",46.17,6,"0.3025 ","0.3177 ","0.2931 ","0.2818 "
"16766","C40P58305Y00","95.T4014.W0A100Z","T05TM83504-133CAB803","0","16.80 ","0.00 ",86.33,48,"0.2907 ","0.2402 ","0.2888 ","0.2742 "
"16767","S04P5831A300","95.S3004.W0A01DZ","T05TM83006-0W3B1GB02","2","17.65 ","0.00 ",22,2,"0.2914 ","0.2577 ","0.2851 ","0.2627 "
"16768","T40P58403L00","95.T4014.W0B102Z","T05TM83515-023BJFU01","0","8.65 ","0.00 ",96.17,25,"0.2825 ","0.2625 ","0.2867 ","0.2586 "
"16769","T40P5830Q400","95.T4012.A0B000Z","T05TM83512-054CQGN01","0","71.00 ","0.33 ",72.67,49,"0.3156 ","0.2928 ","0.2972 ","0.2780 "
"16770","380P58323X00","95.S3806.W0A0E0Z","T05TM83604-044B1AH02","0","34.95 ","0.00 ",30.83,8,"0.2953 ","0.2996 ","0.2851 ","0.2631 "
"16771","T70P58311Y00","95.T7020.Z0C11CZ","T05TM83714-016D6GX01","0","9.30 ","11.20 ",116.17,26,"0.2946 ","0.2641 ","0.2894 ","0.2628 "
